0.003 pkt: 430 | sent
0.003 pkt: 431 | sent
0.003 pkt: 432 | sent
0.003 pkt: 433 | sent
0.003 pkt: 434 | sent
0.003 pkt: 435 | sent
0.003 pkt: 436 | sent
0.003 pkt: 437 | sent
0.003 pkt: 438 | sent
0.003 pkt: 439 | sent
0.003 pkt: 440 | sent
0.003 pkt: 441 | sent
0.003 pkt: 442 | sent
0.003 pkt: 443 | sent
0.003 pkt: 444 | sent
0.003 pkt: 445 | sent
0.003 pkt: 446 | sent
0.003 pkt: 447 | sent
0.003 pkt: 448 | sent
0.003 pkt: 449 | sent
0.003 pkt: 450 | sent
0.003 pkt: 451 | sent
0.003 pkt: 452 | sent
0.003 pkt: 453 | sent
0.003 pkt: 454 | sent
0.003 pkt: 455 | sent
0.003 pkt: 456 | sent
0.003 pkt: 457 | sent
0.003 pkt: 458 | sent
0.003 pkt: 459 | sent
0.003 pkt: 460 | sent
0.003 pkt: 461 | sent
0.003 pkt: 462 | sent
0.003 pkt: 463 | sent
0.003 pkt: 464 | sent
0.003 pkt: 465 | sent
0.003 pkt: 466 | sent
0.003 pkt: 467 | sent
0.003 pkt: 468 | sent
0.003 pkt: 469 | sent
0.003 pkt: 470 | sent
0.003 pkt: 471 | sent
0.003 pkt: 472 | sent
0.003 pkt: 473 | sent
0.003 pkt: 474 | sent
0.003 pkt: 475 | sent
0.003 pkt: 476 | sent
0.003 pkt: 477 | sent
0.003 pkt: 478 | sent
0.003 pkt: 479 | sent
0.003 pkt: 480 | sent
0.003 pkt: 481 | sent
0.003 pkt: 482 | sent
0.003 pkt: 483 | sent
0.003 pkt: 484 | sent
0.003 pkt: 485 | sent
0.003 pkt: 486 | sent
0.003 pkt: 487 | sent
0.003 pkt: 488 | sent
0.003 pkt: 489 | sent
0.003 pkt: 490 | sent
0.003 pkt: 491 | sent
0.003 pkt: 492 | sent
0.003 pkt: 493 | sent
0.003 pkt: 494 | sent
0.003 pkt: 495 | sent
0.003 pkt: 496 | sent
0.003 pkt: 497 | sent
0.003 pkt: 498 | sent
0.003 pkt: 499 | sent
0.003 pkt: 500 | sent
0.003 pkt: 501 | sent
0.003 pkt: 502 | sent
0.003 pkt: 503 | sent
0.003 pkt: 504 | sent
0.003 pkt: 505 | sent
0.003 pkt: 506 | sent
0.003 pkt: 507 | sent
0.003 pkt: 508 | sent
0.003 pkt: 509 | sent
0.003 pkt: 510 | sent
0.003 pkt: 511 | sent
0.003 pkt: 512 | sent
0.003 pkt: 513 | sent
0.003 pkt: 514 | sent
0.003 pkt: 515 | sent
0.003 pkt: 516 | sent
0.003 pkt: 517 | sent
0.003 pkt: 518 | sent
0.003 pkt: 519 | sent
0.003 pkt: 520 | sent
0.003 pkt: 521 | sent
0.003 pkt: 522 | sent
0.003 pkt: 523 | sent
0.003 pkt: 524 | sent
0.003 pkt: 525 | sent
0.003 pkt: 526 | sent
0.003 pkt: 527 | sent
0.003 pkt: 528 | sent
0.003 pkt: 529 | sent
0.003 pkt: 530 | sent
0.003 pkt: 531 | sent
0.003 pkt: 532 | sent
0.003 pkt: 533 | sent
0.003 pkt: 534 | sent
0.003 pkt: 535 | sent
0.003 pkt: 536 | sent
0.003 pkt: 537 | sent
0.003 pkt: 538 | sent
0.003 pkt: 539 | sent
0.003 pkt: 540 | sent
0.003 pkt: 541 | sent
0.003 pkt: 542 | sent
0.003 pkt: 543 | sent
0.003 pkt: 544 | sent
0.003 pkt: 545 | sent
0.003 pkt: 546 | sent
0.003 pkt: 547 | sent
0.003 pkt: 548 | sent
0.003 pkt: 549 | sent
0.003 pkt: 550 | sent
0.003 pkt: 551 | sent
0.003 pkt: 552 | sent
0.003 pkt: 553 | sent
0.003 pkt: 554 | sent
0.003 pkt: 555 | sent
0.003 pkt: 556 | sent
0.003 pkt: 557 | sent
0.003 pkt: 558 | sent
0.003 pkt: 559 | sent
0.003 pkt: 560 | sent
0.003 pkt: 561 | sent
0.003 pkt: 562 | sent
0.003 pkt: 563 | sent
0.003 pkt: 564 | sent
0.003 pkt: 565 | sent
0.003 pkt: 566 | sent
0.003 pkt: 567 | sent
0.003 pkt: 568 | sent
0.003 pkt: 569 | sent
0.003 pkt: 570 | sent
0.003 pkt: 571 | sent
0.003 pkt: 572 | sent
0.003 pkt: 573 | sent
0.003 pkt: 574 | sent
0.003 pkt: 575 | sent
0.003 pkt: 576 | sent
0.003 pkt: 577 | sent
0.003 pkt: 578 | sent
0.003 pkt: 579 | sent
0.003 pkt: 580 | sent
0.003 pkt: 581 | sent
0.003 pkt: 582 | sent
0.003 pkt: 583 | sent
0.003 pkt: 584 | sent
0.003 pkt: 585 | sent
0.003 pkt: 586 | sent
0.003 pkt: 587 | sent
0.003 pkt: 588 | sent
0.003 pkt: 589 | sent
0.003 pkt: 590 | sent
0.003 pkt: 591 | sent
0.003 pkt: 592 | sent
0.003 pkt: 593 | sent
0.003 pkt: 594 | sent
0.003 pkt: 595 | sent
0.003 pkt: 596 | sent
0.003 pkt: 597 | sent
0.003 pkt: 598 | sent
0.003 pkt: 599 | sent
0.003 pkt: 600 | sent
0.003 pkt: 601 | sent
0.003 pkt: 602 | sent
0.003 pkt: 603 | sent
0.003 pkt: 604 | sent
0.003 pkt: 605 | sent
0.003 pkt: 606 | sent
0.003 pkt: 607 | sent
0.003 pkt: 608 | sent
0.003 pkt: 609 | sent
0.003 pkt: 610 | sent
0.003 pkt: 611 | sent
0.003 pkt: 612 | sent
0.003 pkt: 613 | sent
0.003 pkt: 614 | sent
0.003 pkt: 615 | sent
0.003 pkt: 616 | sent
0.003 pkt: 617 | sent
0.003 pkt: 618 | sent
0.003 pkt: 619 | sent
0.003 pkt: 620 | sent
0.003 pkt: 621 | sent
0.003 pkt: 622 | sent
0.003 pkt: 623 | sent
0.003 pkt: 624 | sent
0.003 pkt: 625 | sent
0.003 pkt: 626 | sent
0.003 pkt: 627 | sent
0.003 pkt: 628 | sent
0.003 pkt: 629 | sent
0.003 pkt: 630 | sent
0.003 pkt: 631 | sent
0.003 pkt: 632 | sent
0.003 pkt: 633 | sent
0.003 pkt: 634 | sent
0.003 pkt: 635 | sent
0.003 pkt: 636 | sent
0.003 pkt: 637 | sent
0.003 pkt: 638 | sent
0.003 pkt: 639 | sent
0.003 pkt: 640 | sent
0.003 pkt: 641 | sent
0.003 pkt: 642 | sent
0.003 pkt: 643 | sent
0.003 pkt: 644 | sent
0.003 pkt: 645 | sent
0.003 pkt: 646 | sent
0.003 pkt: 647 | sent
0.003 pkt: 648 | sent
0.003 pkt: 649 | sent
0.003 pkt: 650 | sent
0.003 pkt: 651 | sent
0.003 pkt: 652 | sent
0.003 pkt: 653 | sent
0.003 pkt: 654 | sent
0.003 pkt: 655 | sent
0.003 pkt: 656 | sent
0.003 pkt: 657 | sent
0.003 pkt: 658 | sent
0.003 pkt: 659 | sent
0.003 pkt: 660 | sent
0.003 pkt: 661 | sent
0.003 pkt: 662 | sent
0.003 pkt: 663 | sent
0.003 pkt: 664 | sent
0.003 pkt: 665 | sent
0.003 pkt: 666 | sent
0.003 pkt: 667 | sent
0.003 pkt: 668 | sent
0.003 pkt: 669 | sent
0.003 pkt: 670 | sent
0.003 pkt: 671 | sent
0.003 pkt: 672 | sent
0.003 pkt: 673 | sent
0.003 pkt: 674 | sent
0.003 pkt: 675 | sent
0.003 pkt: 676 | sent
0.003 pkt: 677 | sent
0.003 pkt: 678 | sent
0.003 pkt: 679 | sent
0.003 pkt: 680 | sent
0.003 pkt: 681 | sent
0.003 pkt: 682 | sent
0.003 pkt: 683 | sent
0.003 pkt: 684 | sent
0.003 pkt: 685 | sent
0.003 pkt: 686 | sent
0.003 pkt: 687 | sent
0.003 pkt: 688 | sent
0.003 pkt: 689 | sent
0.003 pkt: 690 | sent
0.003 pkt: 691 | sent
0.003 pkt: 692 | sent
0.003 pkt: 693 | sent
0.003 pkt: 694 | sent
0.003 pkt: 695 | sent
0.003 pkt: 696 | sent
0.003 pkt: 697 | sent
0.003 pkt: 698 | sent
0.003 pkt: 699 | sent
0.003 pkt: 700 | sent
0.003 pkt: 701 | sent
0.003 pkt: 702 | sent
0.003 pkt: 703 | sent
0.003 pkt: 704 | sent
0.003 pkt: 705 | sent
0.003 pkt: 706 | sent
0.003 pkt: 707 | sent
0.003 pkt: 708 | sent
0.003 pkt: 709 | sent
0.003 pkt: 710 | sent
0.003 pkt: 711 | sent
0.003 pkt: 712 | sent
0.003 pkt: 713 | sent
0.004 pkt: 714 | sent
0.004 pkt: 715 | sent
0.004 pkt: 716 | sent
0.004 pkt: 717 | sent
0.004 pkt: 718 | sent
0.004 pkt: 719 | sent
0.004 pkt: 720 | sent
0.004 pkt: 721 | sent
0.004 pkt: 722 | sent
0.004 pkt: 723 | sent
0.004 pkt: 724 | sent
0.004 pkt: 725 | sent
0.004 pkt: 726 | sent
0.004 pkt: 727 | sent
0.004 pkt: 728 | sent
0.004 pkt: 729 | sent
0.004 pkt: 730 | sent
0.004 pkt: 731 | sent
0.004 pkt: 732 | sent
0.004 pkt: 733 | sent
0.004 pkt: 734 | sent
0.004 pkt: 735 | sent
0.004 pkt: 736 | sent
0.004 pkt: 737 | sent
0.004 pkt: 738 | sent
