0.036 ACK: 280   | sent
0.036 pkt: 281   | recieved
0.036 ACK: 281   | sent
0.036 pkt: 282   | recieved
0.036 ACK: 282   | sent
0.036 pkt: 283   | recieved
0.036 ACK: 283   | sent
0.036 pkt: 284   | recieved
0.036 ACK: 284   | sent
0.036 pkt: 285   | recieved
0.036 ACK: 285   | sent
0.036 pkt: 286   | recieved
0.036 ACK: 286   | sent
0.036 pkt: 287   | recieved
0.036 ACK: 287   | sent
0.036 pkt: 288   | recieved
0.036 ACK: 288   | sent
0.036 pkt: 289   | recieved
0.036 ACK: 289   | sent
0.036 pkt: 290   | recieved
0.036 ACK: 290   | sent
0.036 pkt: 291   | recieved
0.036 ACK: 291   | sent
0.036 pkt: 292   | recieved
0.036 ACK: 292   | sent
0.036 pkt: 293   | recieved
0.036 ACK: 293   | sent
0.037 pkt: 294   | recieved
0.037 ACK: 294   | sent
0.037 pkt: 295   | recieved
0.037 ACK: 295   | sent
0.037 pkt: 296   | recieved
0.037 ACK: 296   | sent
0.037 pkt: 297   | recieved
0.037 ACK: 297   | sent
0.037 pkt: 298   | recieved
0.037 ACK: 298   | sent
0.037 pkt: 299   | recieved
0.037 ACK: 299   | sent
0.037 pkt: 300   | recieved
0.037 ACK: 300   | sent
0.037 pkt: 301   | recieved
0.037 ACK: 301   | sent
0.037 pkt: 302   | recieved
0.037 ACK: 302   | sent
0.037 pkt: 303   | recieved
0.037 ACK: 303   | sent
0.037 pkt: 304   | recieved
0.037 ACK: 304   | sent
0.037 pkt: 305   | recieved
0.037 ACK: 305   | sent
0.037 pkt: 306   | recieved
0.037 ACK: 306   | sent
0.037 pkt: 307   | recieved
0.037 ACK: 307   | sent
0.037 pkt: 308   | recieved
0.037 ACK: 308   | sent
0.037 pkt: 309   | recieved
0.037 ACK: 309   | sent
0.037 pkt: 310   | recieved
0.037 ACK: 310   | sent
0.038 pkt: 311   | recieved
0.038 ACK: 311   | sent
0.038 pkt: 312   | recieved
0.038 ACK: 312   | sent
0.038 pkt: 313   | recieved
0.038 ACK: 313   | sent
0.038 pkt: 314   | recieved
0.038 ACK: 314   | sent
0.038 pkt: 315   | recieved
0.038 ACK: 315   | sent
0.038 pkt: 316   | recieved
0.038 ACK: 316   | sent
0.038 pkt: 317   | recieved
0.038 ACK: 317   | sent
0.038 pkt: 318   | recieved
0.038 ACK: 318   | sent
0.038 pkt: 319   | recieved
0.038 ACK: 319   | sent
0.038 pkt: 320   | recieved
0.038 ACK: 320   | sent
0.038 pkt: 321   | recieved
0.038 ACK: 321   | sent
0.038 pkt: 322   | recieved
0.038 ACK: 322   | sent
0.038 pkt: 323   | recieved
0.038 ACK: 323   | sent
0.038 pkt: 324   | recieved
0.038 ACK: 324   | sent
0.038 pkt: 325   | recieved
0.038 ACK: 325   | sent
0.039 pkt: 326   | recieved
0.039 ACK: 326   | sent
0.039 pkt: 327   | recieved
0.039 ACK: 327   | sent
0.039 pkt: 328   | recieved
0.039 ACK: 328   | sent
0.039 pkt: 329   | recieved
0.039 ACK: 329   | sent
0.039 pkt: 330   | recieved
0.039 ACK: 330   | sent
0.039 pkt: 331   | recieved
0.039 ACK: 331   | sent
0.039 pkt: 332   | recieved
0.039 ACK: 332   | sent
0.039 pkt: 333   | recieved
0.039 ACK: 333   | sent
0.039 pkt: 334   | recieved
0.039 ACK: 334   | sent
0.039 pkt: 335   | recieved
0.039 ACK: 335   | sent
0.039 pkt: 336   | recieved
0.039 ACK: 336   | sent
0.039 pkt: 337   | recieved
0.039 ACK: 337   | sent
0.039 pkt: 338   | recieved
0.039 ACK: 338   | sent
0.039 pkt: 339   | recieved
0.039 ACK: 339   | sent
0.039 pkt: 340   | recieved
0.039 ACK: 340   | sent
0.039 pkt: 341   | recieved
0.039 ACK: 341   | sent
0.039 pkt: 342   | recieved
0.039 ACK: 342   | sent
0.039 pkt: 343   | recieved
0.039 ACK: 343   | sent
0.039 pkt: 344   | recieved
0.039 ACK: 344   | sent
0.039 pkt: 345   | recieved
0.039 ACK: 345   | sent
0.039 pkt: 346   | recieved
0.039 ACK: 346   | sent
0.039 pkt: 347   | recieved
0.039 ACK: 347   | sent
0.039 pkt: 348   | recieved
0.039 ACK: 348   | sent
0.039 pkt: 349   | recieved
0.039 ACK: 349   | sent
0.039 pkt: 350   | recieved
0.039 ACK: 350   | sent
0.040 pkt: 351   | recieved
0.040 ACK: 351   | sent
0.040 pkt: 352   | recieved
0.040 ACK: 352   | sent
0.040 pkt: 353   | recieved
0.040 ACK: 353   | sent
0.040 pkt: 354   | recieved
0.040 ACK: 354   | sent
0.040 pkt: 355   | recieved
0.040 ACK: 355   | sent
0.040 pkt: 356   | recieved
0.040 ACK: 356   | sent
0.040 pkt: 357   | recieved
0.040 ACK: 357   | sent
0.040 pkt: 358   | recieved
0.040 ACK: 358   | sent
0.045 pkt: 359   | recieved
0.045 ACK: 359   | sent
0.045 pkt: 360   | recieved
0.046 ACK: 360   | sent
0.046 pkt: 361   | recieved
0.046 ACK: 361   | sent
0.052 pkt: 362   | recieved
0.052 ACK: 362   | sent
0.059 pkt: 363   | recieved
0.059 ACK: 363   | sent
0.059 pkt: 364   | recieved
0.059 ACK: 364   | sent
0.059 pkt: 365   | recieved
0.059 ACK: 365   | sent
0.059 pkt: 366   | recieved
0.059 ACK: 366   | sent
0.059 pkt: 367   | recieved
0.059 ACK: 367   | sent
0.059 pkt: 368   | recieved
0.059 ACK: 368   | sent
0.059 pkt: 369   | recieved
0.059 ACK: 369   | sent
0.066 pkt: 370   | recieved
0.066 ACK: 370   | sent
0.067 pkt: 371   | recieved
0.067 ACK: 371   | sent
0.067 pkt: 372   | recieved
0.067 ACK: 372   | sent
0.068 pkt: 373   | recieved
0.068 ACK: 373   | sent
0.068 pkt: 374   | recieved
0.068 ACK: 374   | sent
0.068 pkt: 375   | recieved
0.068 ACK: 375   | sent
0.068 pkt: 376   | recieved
0.068 ACK: 376   | sent
0.068 pkt: 377   | recieved
0.068 ACK: 377   | sent
0.068 pkt: 378   | recieved
0.068 ACK: 378   | sent
0.068 pkt: 379   | recieved
0.068 ACK: 379   | sent
0.068 pkt: 380   | dropped
0.068 ACK: 379   | sent
0.068 ACK: 379   | sent
0.068 ACK: 379   | sent
0.068 ACK: 379   | sent
0.068 ACK: 379   | sent
0.068 ACK: 379   | sent
0.068 pkt: 380   | recieved
0.068 ACK: 386   | sent
0.074 pkt: 387   | recieved
0.074 ACK: 387   | sent
0.074 pkt: 388   | recieved
0.074 ACK: 388   | sent
0.074 pkt: 389   | recieved
0.074 ACK: 389   | sent
0.074 pkt: 390   | recieved
0.074 ACK: 390   | sent
0.074 pkt: 391   | recieved
0.074 ACK: 391   | sent
0.074 pkt: 392   | recieved
0.074 ACK: 392   | sent
0.074 pkt: 393   | recieved
0.074 ACK: 393   | sent
0.074 pkt: 394   | recieved
0.074 ACK: 394   | sent
0.074 pkt: 395   | recieved
0.074 ACK: 395   | sent
0.074 pkt: 396   | recieved
0.074 ACK: 396   | sent
0.075 pkt: 397   | recieved
0.075 ACK: 397   | sent
0.075 pkt: 398   | recieved
0.075 ACK: 398   | sent
0.075 pkt: 399   | recieved
0.075 ACK: 399   | sent
0.075 pkt: 400   | recieved
0.075 ACK: 400   | sent
0.075 pkt: 401   | recieved
0.075 ACK: 401   | sent
0.075 pkt: 402   | recieved
0.075 ACK: 402   | sent
0.075 pkt: 403   | recieved
0.075 ACK: 403   | sent
0.075 pkt: 404   | recieved
0.075 ACK: 404   | sent
0.075 pkt: 405   | recieved
0.075 ACK: 405   | sent
0.075 pkt: 406   | recieved
0.075 ACK: 406   | sent
0.075 pkt: 407   | recieved
0.075 ACK: 407   | sent
0.076 pkt: 408   | recieved
0.076 ACK: 408   | sent
0.076 pkt: 409   | recieved
0.076 ACK: 409   | sent
0.076 pkt: 410   | recieved
0.076 ACK: 410   | sent
0.076 pkt: 411   | recieved
0.076 ACK: 411   | sent
0.076 pkt: 412   | recieved
0.077 ACK: 412   | sent
0.077 pkt: 413   | recieved
0.077 ACK: 413   | sent
0.077 pkt: 414   | recieved
0.077 ACK: 414   | sent
0.077 pkt: 415   | recieved
0.077 ACK: 415   | sent
0.077 pkt: 416   | recieved
0.077 ACK: 416   | sent
0.077 pkt: 417   | recieved
0.077 ACK: 417   | sent
0.077 pkt: 418   | recieved
0.077 ACK: 418   | sent
0.077 pkt: 419   | recieved
0.077 ACK: 419   | sent
0.078 pkt: 420   | recieved
0.078 ACK: 420   | sent
0.078 pkt: 421   | recieved
0.078 ACK: 421   | sent
0.078 pkt: 422   | recieved
0.078 ACK: 422   | sent
0.078 pkt: 423   | recieved
0.078 ACK: 423   | sent
0.078 pkt: 424   | recieved
0.078 ACK: 424   | sent
0.078 pkt: 425   | recieved
0.078 ACK: 425   | sent
0.078 pkt: 426   | recieved
0.078 ACK: 426   | sent
0.079 pkt: 427   | recieved
0.079 ACK: 427   | sent
0.079 pkt: 428   | recieved
0.079 ACK: 428   | sent
0.079 pkt: 429   | recieved
0.079 ACK: 429   | sent
0.079 pkt: 430   | recieved
0.079 ACK: 430   | sent
0.079 pkt: 431   | recieved
0.079 ACK: 431   | sent
0.079 pkt: 432   | recieved
0.080 ACK: 432   | sent
0.080 pkt: 433   | recieved
0.080 ACK: 433   | sent
0.080 pkt: 434   | recieved
0.080 ACK: 434   | sent
0.080 pkt: 435   | recieved
0.080 ACK: 435   | sent
0.080 pkt: 436   | recieved
0.080 ACK: 436   | sent
0.080 pkt: 437   | recieved
0.080 ACK: 437   | sent
0.080 pkt: 438   | recieved
0.080 ACK: 438   | sent
0.080 pkt: 439   | recieved
0.080 ACK: 439   | sent
0.080 pkt: 440   | recieved
0.080 ACK: 440   | sent
0.080 pkt: 441   | recieved
0.080 ACK: 441   | sent
0.080 pkt: 442   | recieved
0.080 ACK: 442   | sent
0.080 pkt: 443   | recieved
0.080 ACK: 443   | sent
0.080 pkt: 444   | recieved
0.080 ACK: 444   | sent
0.080 pkt: 445   | recieved
0.080 ACK: 445   | sent
0.080 pkt: 446   | recieved
0.080 ACK: 446   | sent
0.080 pkt: 447   | recieved
0.080 ACK: 447   | sent
0.080 pkt: 448   | recieved
0.080 ACK: 448   | sent
0.081 pkt: 449   | recieved
0.081 ACK: 449   | sent
0.081 pkt: 450   | recieved
0.081 ACK: 450   | sent
0.081 pkt: 451   | recieved
0.081 ACK: 451   | sent
0.081 pkt: 452   | recieved
0.081 ACK: 452   | sent
0.081 pkt: 453   | recieved
0.081 ACK: 453   | sent
0.081 pkt: 454   | recieved
0.081 ACK: 454   | sent
0.081 pkt: 455   | recieved
0.081 ACK: 455   | sent
0.081 pkt: 456   | recieved
0.081 ACK: 456   | sent
0.081 pkt: 457   | recieved
0.081 ACK: 457   | sent
0.081 pkt: 458   | recieved
