0.382 pkt: 264   | sent
0.382 ACK: 255   | recieved
0.382 ACK: 256   | recieved
0.382 pkt: 265   | sent
0.382 pkt: 266   | sent
0.382 pkt: 267   | sent
0.382 ACK: 257   | recieved
0.382 ACK: 258   | recieved
0.382 ACK: 259   | recieved
0.382 pkt: 268   | sent
0.382 pkt: 269   | sent
0.382 ACK: 260   | recieved
0.383 pkt: 270   | sent
0.383 ACK: 261   | recieved
0.383 pkt: 271   | sent
0.383 ACK: 262   | recieved
0.383 pkt: 272   | sent
0.383 ACK: 263   | recieved
0.383 pkt: 273   | sent
0.383 ACK: 264   | recieved
0.383 pkt: 274   | sent
0.383 pkt: 275   | sent
0.383 pkt: 276   | sent
0.383 ACK: 265   | recieved
0.383 pkt: 277   | sent
0.383 ACK: 266   | recieved
0.383 pkt: 278   | sent
0.383 ACK: 267   | recieved
0.383 pkt: 279   | sent
0.383 ACK: 268   | recieved
0.383 pkt: 280   | sent
0.383 ACK: 269   | recieved
0.384 ACK: 270   | recieved
0.384 ACK: 271   | recieved
0.384 pkt: 281   | sent
0.384 pkt: 282   | sent
0.384 ACK: 272   | recieved
0.384 pkt: 283   | sent
0.384 pkt: 284   | sent
0.384 ACK: 273   | recieved
0.384 ACK: 274   | recieved
0.384 pkt: 285   | sent
0.385 ACK: 275   | recieved
0.385 pkt: 286   | sent
0.385 ACK: 276   | recieved
0.385 pkt: 287   | sent
0.385 ACK: 277   | recieved
0.385 ACK: 278   | recieved
0.385 ACK: 279   | recieved
0.385 ACK: 280   | recieved
0.385 pkt: 288   | sent
0.385 ACK: 281   | recieved
0.385 pkt: 289   | sent
0.385 pkt: 290   | sent
0.385 pkt: 291   | sent
0.385 ACK: 282   | recieved
0.385 ACK: 283   | recieved
0.387 pkt: 292   | sent
0.387 ACK: 284   | recieved
0.387 pkt: 293   | sent
0.387 ACK: 285   | recieved
0.387 pkt: 294   | sent
0.387 ACK: 286   | recieved
0.387 ACK: 287   | recieved
0.387 ACK: 288   | recieved
0.387 ACK: 289   | recieved
0.387 pkt: 295   | sent
0.387 pkt: 296   | sent
0.387 ACK: 290   | recieved
0.387 pkt: 297   | sent
0.387 ACK: 291   | recieved
0.387 pkt: 298   | sent
0.387 ACK: 292   | recieved
0.387 pkt: 299   | sent
0.387 pkt: 300   | sent
0.387 pkt: 301   | sent
0.387 pkt: 302   | sent
0.387 pkt: 303   | sent
0.387 pkt: 304   | sent
0.388 pkt: 305   | sent
0.388 pkt: 306   | sent
0.388 pkt: 307   | sent
0.388 pkt: 308   | sent
0.388 pkt: 309   | sent
0.388 pkt: 310   | sent
0.388 pkt: 311   | sent
0.388 pkt: 312   | sent
0.388 pkt: 313   | sent
0.388 pkt: 314   | sent
0.388 pkt: 315   | sent
0.388 pkt: 316   | sent
0.388 pkt: 317   | sent
0.388 pkt: 318   | sent
0.389 pkt: 319   | sent
0.389 pkt: 320   | sent
0.389 pkt: 321   | sent
0.389 pkt: 322   | sent
0.389 pkt: 323   | sent
0.389 pkt: 324   | sent
0.389 pkt: 325   | sent
0.389 pkt: 326   | sent
0.389 pkt: 327   | sent
0.389 pkt: 328   | sent
0.389 pkt: 329   | sent
0.390 pkt: 330   | sent
0.390 pkt: 331   | sent
0.390 pkt: 332   | sent
0.390 ACK: 293   | recieved
0.390 pkt: 333   | sent
0.401 pkt: 334   | sent
0.401 ACK: 294   | recieved
0.406 pkt: 335   | sent
0.407 pkt: 336   | sent
0.407 ACK: 295   | recieved
0.407 pkt: 337   | sent
0.407 ACK: 296   | recieved
